QUOTE,AUTHOR,GENRE,EMOTION
"Sometimes I think my husband is so amazing that I don't know why he's with me. I don't know whether I'm good enough. But if I make him happy, then I'm everything I want to be.",Angelina Jolie,amazing,3
"If you tell people where to go, but not how to get there, you'll be amazed at the results.",George S. Patton,amazing,3
It is amazing what you can accomplish if you do not care who gets the credit.,Harry S. Truman,amazing,3
"If you set goals and go after them with all the determination you can muster, your gifts will take you places that will amaze you.",Les Brown,amazing,3
"Nobody in life gets exactly what they thought they were going to get. But if you work really hard and you're kind, amazing things will happen.",Conan O'Brien,amazing,3
It's amazing the clarity that comes with psychotic jealousy.,Rupert Everett,amazing,3
There are amazingly wonderful people in all walks of life some familiar to us and others not. Stretch yourself and really get to know people. People are in many ways one of our greatest treasures.,Bryant H. McGill,amazing,3
I feel like I have had the most amazing life in my public service.,Hillary Clinton,amazing,3
"When you have confidence, you can have a lot of fun. And when you have fun, you can do amazing things.",Joe Namath,amazing,3
"The thing that is really hard, and really amazing, is giving up on being perfect and beginning the work of becoming yourself.",Anna Quindlen,amazing,3
"If there was an observer on Mars, they would probably be amazed that we have survived this long.",Noam Chomsky,amazing,3
I am indeed amazed when I consider how weak my mind is and how prone to error.,Rene Descartes,amazing,3
People are generally amazed that I would take an interest in any form that would require me to stop talking for three hours.,Henry A. Kissinger,amazing,3
"With love, you should go ahead and take the risk of getting hurt because love is an amazing feeling.",Britney Spears,amazing,3
"If you dream of something worth doing and then simply go to work on it and don't think anything of personalities, or emotional conflicts, or of money, or of family distractions it is amazing how quickly you get through those 5,000 steps.",Edwin Land,amazing,3
You will never cease to be the most amazed person on earth at what God has done for you on the inside.,Oswald Chambers,amazing,3
"When the shriveled skin of the ordinary is stuffed out with meaning, it satisfies the senses amazingly.",Virginia Woolf,amazing,3
People never cease to amaze me.,Tina Yothers,amazing,3
The amazing fact is that America is founded on a document. It's a work in progress. It can be tested by each generation.,Christopher Hitchens,amazing,3
It's amazing what ordinary people can do if they set out without preconceived notions.,Ben Stein,amazing,3
People must feel that the natural world is important and valuable and beautiful and wonderful and an amazement and a pleasure.,David Attenborough,amazing,3
Write in recollection and amazement for yourself.,Jack Kerouac,amazing,3
"When it's over, I want to say: all my life I was a bride married to amazement. I was the bridegroom, taking the world into my arms.",Mary Oliver,amazing,3
"It's amazing how, over time, a person's perspective can be altered.",Fred Durst,amazing,3
I'm proud of the U.S.A. We've done some amazing things. To wear our flag in the Olympics is an honor.,Shaun White,amazing,3
The body is an amazing machine... If you eat the right things your body will perform incredibly well!,Shawn Johnson,amazing,3
I really love the internet. They say chat-rooms are the trailer park of the internet but I find it amazing.,Carrie Fisher,amazing,3
"As a kid, I kind of spent my life being amazed by being tricked. I love being tricked. I still love it today.",Daniel Craig,amazing,3
"It's amazing, if you know what you want to say, how fast it is to write.",Evan Davis,amazing,3
I'm always amazed at anyone's interest in what I have to say.,Orlando Bloom,amazing,3
"It was amazing to me that, all of a sudden, I was hearing my music on the radio and coming out of cars.",Lenny Kravitz,amazing,3
"When the youth of America gets together, amazing things happen.",Tom Ford,amazing,3
Nothing amazes me anymore.,David Beckham,amazing,3
Words to me were magic. You could say a word and it could conjure up all kinds of images or feelings or a chilly sensation or whatever. It was amazing to me that words had this power.,Amy Tan,amazing,3
It's an amazing luxury to say I'm 31 years old and I'm gonna take a year off. That's pretty amazing.,Sarah McLachlan,amazing,3
Isn't it amazing the way the future succeeds in creating an appropriate past?,John Leonard,amazing,3
It's amazing how much trouble you can get in when you don't have anything else to do.,Quincy Jones,amazing,3
I like pens. My writing is so amazing there's never a need to erase.,Todd Barry,amazing,3
I am constantly amazed by Tina Fey. And I am Tina Fey.,Tina Fey,amazing,3
I was always amazed about how much I could finally squeeze into a thirty second commercial.,Ridley Scott,amazing,3
"I've had to calm down, I have a kid! It is amazing. It's the best thing ever. Nothing better than it.",Kevin Pietersen,amazing,3
Amazingly when you add life and consciousness to the equation you can actually explain some of the biggest puzzles of science.,Robert Lanza,amazing,3
Amazement awaits us at every corner.,James Broughton,amazing,3
